17290,CLFRFRCCXXX,Dexia crédit local
17439,SODIRER1XXX,Société financière pour le développement de la Réunion (S.O.F.I.D.E.R.)
17519,BACPFRPPXXX,Banque centrale de compensation
17569,CMBMMCMXXXX,Compagnie monegasque de banque
17599,BLOMFRPPXXX,Blom bank France
17619,BEMOFRPPXXX,BEMO EUROPE - BANQUE PRIVEE
17620,CCMNFR21XXX,Caisse de crédit municipal de Nîmes
17649,REVIFRPPXXX,Banque Revillon
17679,SEBXFRP1XXX,Société de banque et d'expansion - S.B.E. (2ème du nom)
17779,SBAAFRPPXXX,Banque SBA
18707,CCBPFRPPVER,Banque populaire Val de France (2ème du nom)
18719,BFCORERXXXX,Banque Française Commerciale Océan Indien
18759,EFGBMCMCXXX,EFG Bank (Monaco)
18769,BKCHFRPPXXX,Bank of China limited
18789,ICBCFRPPXXX,"Mega international commercial bank Co, Ltd"
18869,FEMUFR21BDF,Banque française mutualiste - B.F.M.
18950,CSCAFR21XXX,Caisse de crédit municipal d'Avignon
18979,ABCOFRPPXXX,ABC international bank plc
19000,IVSTFRP1SMA,Société auxiliaire d'études et d'investissements mobiliers - Investimo
19069,KBLXFRPPXXX,KBL Richelieu banque privée
19106,AGRIFRCC891,Caisse régionale de crédit agricole mutuel Provence-Côte d'Azur (Alpes de Haute-Provence-Alpes-maritimes-Var)
19229,BSABFRPPXXX,Banco de Sabadell
19406,AGRIFRCC894,Caisse régionale de crédit agricole mutuel de la Touraine et du Poitou
19460,SFAXFRPPXXX,Sofax banque
19506,AGRIFRCC895,Caisse régionale de crédit agricole mutuel du Centre Ouest
19570,UFIFFRP1XXX,Union financière de France banque
19806,AGRIMQMXXXX,Caisse régionale de crédit agricole mutuel de la Martinique et de la Guyane
19870,SOAPFR22XXX,Carrefour banque
19906,AGRIRERXXXX,Caisse régionale de crédit agricole mutuel de la Réunion
12869,BACCFR22XXX,ONEY BANK
12879,DELUFR22LCH,Banque Delubac et Cie
12906,AGRIFRCC829,Caisse régionale de crédit agricole mutuel du Finistère
12939,BDUPFR2SXXX,Banque Dupuy de Parseval
13106,AGRIFRCC831,Caisse régionale de crédit agricole mutuel Toulouse 31
13149,EDELFRP1XXX,Banque Edel SNC
13168,PSABFRPPXXX,Banque PSA finance
13179,FIDCFR21XXX,Banque Fiducial
13259,KOLBFR21XXX,Banque Kolb
13298,CMCIFR2ABCM,Banque commerciale du marché nord Europe-BCMNE
13306,AGRIFRCC833,Caisse régionale de crédit agricole mutuel d'Aquitaine
13338,KBLXMCMCXXX,KBL Monaco private bankers
13368,SGBTMCMCXXX,Société Générale Bank & Trust (Monaco)
13379,BMRZFR21XXX,Banque Marze
13488,BLICMCMCXXX,HSBC Private bank (Monaco) S.A.
13489,BNUGFR21XXX,Banque Nuger
13506,AGRIFRCC835,Caisse régionale de crédit agricole mutuel du Languedoc
13507,CCBPFRPPLIL,Banque populaire du Nord
13528,UNCRFRPPXXX,Unicredit SpA
13558,AUXPFR21XXX,Auxifip
13579,BSAOFR21XXX,Banque Saint-Olive
13580,FACFFRPPXXX,FACTOFRANCE
13606,AGRIFRCC836,Caisse régionale de crédit agricole mutuel d'Ille-et-Vilaine
13688,ISBKFRPPXXX,Isbank AG
20041,PSSTFRPPXXX,La Banque Postale
21670,CPBIFRPPXXX,CP Or devises
21990,FIPIFRP1XXX,Banque Leonardo
22040,CMCIFRPACCM,Confédération Nationale du Crédit Mutuel
23779,BYBBFRPPXXX,Byblos bank Europe
23890,BCMAFRPPXXX,Attijariwafa bank europe
24659,BCIBFRP1XXX,Banque Chabrières
27800,KREDFRPPXXX,KBC bank
28570,CMDIFR21XXX,Caisse de crédit municipal de Dijon
30002,CRLYFRPPXXX,Crédit lyonnais
30003,SOGEFRPPXXX,Société générale
30004,BNPAFRPPXXX,BNP Paribas
30006,AGRIFRCCNAT,Crédit Agricole S.A.
30007,NATXFRPPMAR,Natixis
30051,CFFOFRCCXXX,Compagnie de financement foncier
30056,CCFRFRPPXXX,HSBC France
30066,CMCIFRCPCIC,Crédit industriel et commercial - CIC
30076,NORDFRPPXXX,Crédit du Nord
30077,SMCTFR2AXXX,Société marseillaise de crédit
30258,BATIFRP1XXX,Banque du bâtiment et des travaux publics - BTP banque
30438,INGBFRPPXXX,ING Bank NV
30478,MONTFRPPXXX,Monte Paschi banque S.A.
